BodyLength,Planet,Diet,Location,Oxygen
-0.42087270339077243,Earth,Diet 1,East,0.554189302495361
-1.6467979892931148,Earth,Diet 1,East,0.8741355069628421
1.6616094509595651,Earth,Diet 1,North,0.6122520394515985
-0.2829906386230008,Earth,Diet 1,South,0.852286018915042
0.06370304600860188,Earth,Diet 1,East,0.43479890663423226
2.451161605760614,Earth,Diet 1,East,0.6783279473890654
0.11985952364818475,Earth,Diet 1,West,0.08770367961012815
-0.25488178724682964,Earth,Diet 1,East,0.6712260905855453
0.891586026580297,Earth,Diet 1,East,0.7740632155077848
-1.1786329848190609,Earth,Diet 1,East,0.7667757026152102
-0.9848999768200914,Earth,Diet 1,North,0.38652136837325735
5.513248553483279,Earth,Diet 1,East,0.4567080201985395
1.5102746430008036,Earth,Diet 1,East,0.07049838627283411
4.31154706939177,Earth,Diet 1,East,0.004552071021365234
0.6086934970965423,Earth,Diet 1,East,0.09861630811452826
4.644281234638491,Earth,Diet 1,West,0.22182183207726702
1.5286546284234843,Earth,Diet 1,South,0.8028039133369005
0.12865650129912065,Earth,Diet 1,East,0.42866143055993455
5.359329009400224,Earth,Diet 1,West,0.12036186278539518
2.788345490675371,Earth,Diet 1,East,0.8511759441424563
0.8786106526559756,Earth,Diet 1,North,0.0014977129378188625
-2.2553907389582455,Earth,Diet 1,West,0.6563694549795573
0.25103150275444197,Earth,Diet 1,North,0.8381418101893785
4.252232652809086,Earth,Diet 1,East,0.45064562201357605
0.30149300228571985,Earth,Diet 1,South,0.012612827938601079
3.846519021896236,Earth,Diet 1,West,0.1432999491804381
0.4362590425199874,Earth,Diet 1,North,0.8930052982418996
0.4365042548505892,Earth,Diet 1,East,0.12950809445832312
-0.527547918488074,Earth,Diet 1,South,0.46693975270634624
-0.7588539999652766,Earth,Diet 1,North,0.27038053891052516
1.9768783886699248,Earth,Diet 1,East,0.08787220114017036
-0.7790741867033231,Earth,Diet 1,South,0.8770970236954269
